,Round,Agent,Opponent,State,Player 1 Action,Player 2 Action,Player 1 Reward,Player 2 Reward,Player 1 Score,Player 2 Score,Collision Point
451,239,4,13,4,1,1,1,1,251,76,"[357.72427402646247, 292.00514683706996]"
452,239,0,10,1,0,0,3,3,567,576,"[20.0, 20.0]"
453,240,4,13,4,1,1,1,1,252,77,"[356.3524748838374, 290.1969063856053]"
454,240,0,10,1,0,0,3,3,570,579,"[20.0, 20.0]"
455,241,4,13,4,1,1,1,1,253,78,"[355.1178556554747, 288.56948997928714]"
456,241,0,10,1,0,0,3,3,573,582,"[20.0, 20.0]"
457,242,4,13,4,1,1,1,1,254,79,"[354.00669834994835, 287.1048152136008]"
458,242,0,10,1,0,0,3,3,576,585,"[20.0, 20.0]"
459,243,2,12,1,0,0,3,3,48,15,"[533.28190858334, 406.27829318772046]"
460,243,4,13,4,1,1,1,1,255,80,"[353.0066567749746, 285.786607924483]"
461,243,0,10,1,0,0,3,3,579,588,"[20.0, 20.0]"
462,244,4,13,4,1,1,1,1,256,81,"[352.1066193574982, 284.600221364277]"
463,244,0,10,1,0,0,3,3,582,591,"[20.0, 20.0]"
464,245,4,13,4,1,1,1,1,257,82,"[351.29658568176944, 283.53247346009164]"
465,245,0,10,1,0,0,3,3,585,594,"[20.0, 20.0]"
466,246,4,13,4,1,1,1,1,258,83,"[350.5675553736136, 282.5715003463248]"
467,246,0,5,1,0,0,3,3,39,597,"[37.100941705079464, 22.14623705358626]"
468,247,3,9,1,0,0,3,3,15,15,"[212.3974419304615, 88.56876612526875]"
469,247,4,13,4,1,1,1,1,259,84,"[349.91142809627326, 281.7066245439346]"
470,247,0,10,1,0,0,3,3,588,600,"[20.0, 20.0]"
471,248,4,13,4,1,1,1,1,260,85,"[349.32091354666704, 280.9282363217835]"
472,248,0,10,1,0,0,3,3,591,603,"[20.0, 20.0]"
473,249,4,13,4,1,1,1,1,261,86,"[348.78945045202147, 280.2276869218475]"
474,249,8,11,1,0,0,3,3,6,9,"[34.85, 561.0999999999999]"
475,249,0,10,1,0,0,3,3,594,606,"[20.0, 20.0]"
476,250,4,13,4,1,1,1,1,262,87,"[348.3111336668404, 279.59719246190514]"
477,250,5,9,1,0,0,3,3,42,18,"[173.34680739816312, 37.226659955914926]"
478,250,0,10,1,0,0,3,3,597,609,"[20.0, 20.0]"
